Corporation,Card,PlayerGames,AvgEloChange
Cheung Shing Mars,Trees,417,0.676258992805755
PhoboLog,Mars University,278,0.676258992805755
Cheung Shing Mars,Regolith Eaters,379,0.675461741424802
Ecoline,Flooding,459,0.675381263616558
Vitor,Mineral Deposit,434,0.675115207373272
Tharsis Republic,Media Archives,452,0.674778761061947
Tharsis Republic,Space Elevator,378,0.674603174603175
Valley Trust,Fueled Generators,498,0.672690763052209
Cheung Shing Mars,Nuclear Zone,421,0.672209026128266
Ecoline,Heat Trappers,452,0.670353982300885
Teractor,Hackers,382,0.670157068062827
Ecoline,Bushes,530,0.669811320754717
Mining Guild,Fusion Power,451,0.669623059866962
Ecoline,Business Network,457,0.669584245076586
Valley Trust,Technology Demonstration,483,0.668737060041408
Vitor,Terraforming Ganymede,468,0.666666666666667
Mining Guild,Farming,441,0.666666666666667
Saturn Systems,Asteroid Mining,612,0.665032679738562
Saturn Systems,GHG Factories,483,0.664596273291926
Ecoline,Energy Tapping,461,0.663774403470716
Ecoline,Inventors' Guild,440,0.663636363636364
Point Luna,Power Plant,528,0.662878787878788
Mining Guild,Robotic Workforce,412,0.662621359223301
Robinson Industries,Kelp Farming,246,0.66260162601626
Interplanetary Cinematics,Regolith Eaters,397,0.662468513853904
Saturn Systems,Callisto Penal Mines,600,0.661666666666667
Point Luna,Flooding,526,0.661596958174905
CrediCor,Mine,591,0.661590524534687
CrediCor,Black Polar Dust,520,0.661538461538462
Mining Guild,Mineral Deposit,424,0.660377358490566
Saturn Systems,Research Coordination,408,0.659313725490196
Interplanetary Cinematics,Magnetic Field Generators,401,0.658354114713217
Helion,AI Central,266,0.657894736842105
ThorGate,Industrial Microbes,140,0.657142857142857
Point Luna,Soletta,518,0.656370656370656
Interplanetary Cinematics,Adapted Lichen,401,0.655860349127182
Tharsis Republic,Flooding,418,0.655502392344498
Cheung Shing Mars,Medical Lab,505,0.655445544554455
Valley Trust,Industrial Microbes,473,0.6553911205074
Teractor,Land Claim,399,0.654135338345865
Tharsis Republic,Nitrogen-Rich Asteroid,436,0.653669724770642
Ecoline,Sponsors,435,0.652873563218391
ThorGate,Restricted Area,155,0.651612903225806
Point Luna,Nuclear Power,551,0.6497277676951
CrediCor,Hackers,545,0.64954128440367
Cheung Shing Mars,Birds,456,0.649122807017544
Ecoline,Corporate Stronghold,495,0.648484848484848
Cheung Shing Mars,Cupola City,449,0.648106904231626
Mining Guild,Designed Microorganisms,419,0.646778042959427
Saturn Systems,Grass,515,0.646601941747573
Point Luna,Fusion Power,557,0.646319569120287
CrediCor,Decomposers,532,0.644736842105263
Cheung Shing Mars,Power Plant,454,0.643171806167401
Cheung Shing Mars,Large Convoy,417,0.642685851318945
Mining Guild,Advanced Ecosystems,438,0.641552511415525
Mining Guild,Adapted Lichen,436,0.639908256880734
Point Luna,Greenhouses,563,0.63943161634103
Cheung Shing Mars,Adapted Lichen,440,0.638636363636364
Mining Guild,Algae,481,0.638253638253638
Point Luna,Zeppelins,547,0.638025594149909
Ecoline,Ore Processor,453,0.637969094922737
Ecoline,Insects,546,0.637362637362637
Vitor,Solar Wind Power,430,0.637209302325581
Point Luna,Giant Space Mirror,523,0.636711281070746
Vitor,Martian Survey,502,0.635458167330677
Teractor,Artificial Lake,415,0.633734939759036
Point Luna,Mining Expedition,538,0.631970260223048
Vitor,Ice Asteroid,423,0.631205673758865
Valley Trust,Asteroid,516,0.62984496124031
Tharsis Republic,Great Escarpment Consortium,446,0.62780269058296
Ecoline,Aquifer Pumping,513,0.627680311890838
Point Luna,Investment Loan,558,0.627240143369176
Vitor,Space Mirrors,455,0.626373626373626
Valley Trust,Archaebacteria,486,0.625514403292181
Saturn Systems,Big Asteroid,448,0.625
Valley Trust,Vesta Shipyard,493,0.62474645030426
Cheung Shing Mars,Grass,473,0.623678646934461
CrediCor,Ice Asteroid,613,0.623164763458401
Saturn Systems,Algae,435,0.622988505747126
CrediCor,Mangrove,533,0.622889305816135
Saturn Systems,Moss,479,0.622129436325679
Saturn Systems,Caretaker Contract,465,0.621505376344086
Saturn Systems,Space Station,494,0.621457489878543
United Nations Mars Initiative,Optimal Aerobraking,169,0.621301775147929
Saturn Systems,Micro-Mills,464,0.620689655172414
Interplanetary Cinematics,Business Contacts,427,0.620608899297424
Ecoline,Research,484,0.619834710743802
Mining Guild,Birds,468,0.61965811965812
Mining Guild,Lunar Beam,391,0.618925831202046
Vitor,Industrial Center,459,0.618736383442266
Point Luna,Toll Station,540,0.618518518518518
Point Luna,Extreme-Cold Fungus,498,0.618473895582329
Saturn Systems,Methane From Titan,550,0.618181818181818
Point Luna,Lava Tube Settlement,508,0.618110236220472
Teractor,Subterranean Reservoir,408,0.617647058823529
Valley Trust,Mining Area,481,0.617463617463617
Mining Guild,Research,384,0.6171875
Mining Guild,Hired Raiders,428,0.616822429906542
Mining Guild,Giant Space Mirror,426,0.615023474178404
Valley Trust,Indentured Workers,483,0.614906832298137
Teractor,Lunar Beam,488,0.614754098360656
Valley Trust,Quantum Extractor,544,0.613970588235294
Cheung Shing Mars,House Printing,456,0.611842105263158
Saturn Systems,Quantum Extractor,455,0.610989010989011
Point Luna,Energy Saving,542,0.61070110701107
CrediCor,Domed Crater,547,0.608775137111517
Ecoline,Deep Well Heating,462,0.608225108225108
Point Luna,Biomass Combustors,505,0.607920792079208
Saturn Systems,Trans-Neptune Probe,512,0.607421875
Mining Guild,Power Plant,449,0.605790645879733
Vitor,Designed Microorganisms,482,0.603734439834025
Interplanetary Cinematics,Grass,396,0.603535353535353
Interplanetary Cinematics,Underground Detonations,360,0.602777777777778
Cheung Shing Mars,Terraforming Ganymede,398,0.600502512562814
Robinson Industries,Standard Technology,275,0.6
Point Luna,Advanced Ecosystems,565,0.6
Cheung Shing Mars,Earth Office,397,0.599496221662469
Helion,Research Outpost,277,0.59927797833935
CrediCor,Space Hotels,429,0.599067599067599
Tharsis Republic,Development Center,429,0.599067599067599
Ecoline,Caretaker Contract,496,0.598790322580645
Interplanetary Cinematics,Tropical Resort,375,0.597333333333333
Valley Trust,Tundra Farming,499,0.597194388777555
Interplanetary Cinematics,Beam From a Thorium Asteroid,335,0.597014925373134
CrediCor,Fueled Generators,495,0.595959595959596
Mining Guild,Small Animals,445,0.595505617977528
Saturn Systems,Archaebacteria,472,0.595338983050847
CrediCor,Solar Wind Power,541,0.595194085027726
Robinson Industries,Business Contacts,279,0.594982078853047
Cheung Shing Mars,Aquifer Pumping,427,0.594847775175644
Valley Trust,Rad-Chem Factory,535,0.594392523364486
Ecoline,Media Archives,525,0.594285714285714
Helion,Restricted Area,320,0.59375
Interplanetary Cinematics,Steelworks,403,0.593052109181141
Mining Guild,Standard Technology,430,0.593023255813954
Valley Trust,Titanium Mine,474,0.592827004219409
Teractor,Mining Rights,406,0.591133004926108
Point Luna,Martian Rails,560,0.591071428571429
Saturn Systems,Sponsors,479,0.590814196242171
Point Luna,Indentured Workers,574,0.590592334494774
CrediCor,Building Industries,553,0.589511754068716
Point Luna,Strip Mine,492,0.589430894308943
Vitor,GHG Producing Bacteria,450,0.588888888888889
Cheung Shing Mars,Security Fleet,395,0.587341772151899
Teractor,Industrial Microbes,376,0.585106382978723
Saturn Systems,Space Hotels,388,0.585051546391753
Ecoline,Insulation,518,0.584942084942085
Valley Trust,Research Coordination,534,0.584269662921348
Point Luna,Phobos Space Haven,532,0.582706766917293
Interplanetary Cinematics,Power Infrastructure,325,0.581538461538462
Point Luna,Bushes,532,0.580827067669173
Point Luna,Artificial Photosynthesis,541,0.580406654343808
CrediCor,Zeppelins,485,0.579381443298969
Saturn Systems,Kelp Farming,504,0.579365079365079
Tharsis Republic,Land Claim,473,0.579281183932347
Inventrix,Restricted Area,332,0.578313253012048
CrediCor,Underground Detonations,535,0.577570093457944
Point Luna,Underground Detonations,532,0.577067669172932
Interplanetary Cinematics,Industrial Center,399,0.576441102756892
Ecoline,Callisto Penal Mines,474,0.575949367088608
PhoboLog,Fuel Factory,316,0.575949367088608
Mining Guild,Heat Trappers,400,0.575
Robinson Industries,Strip Mine,268,0.574626865671642
Saturn Systems,Zeppelins,498,0.57429718875502
Cheung Shing Mars,Release of Inert Gases,439,0.574031890660592
Cheung Shing Mars,Investment Loan,420,0.573809523809524
Valley Trust,Bushes,502,0.573705179282869
Tharsis Republic,Geothermal Power,483,0.573498964803313
Interplanetary Cinematics,Fuel Factory,417,0.573141486810552
Ecoline,Electro Catapult,424,0.57311320754717
CrediCor,Steelworks,533,0.572232645403377
Tharsis Republic,Convoy From Europa,423,0.57210401891253
Vitor,Plantation,446,0.571748878923767
Cheung Shing Mars,Heat Trappers,453,0.571743929359823
Mining Guild,Industrial Microbes,463,0.570194384449244
Interplanetary Cinematics,Livestock,386,0.569948186528497
Ecoline,Energy Saving,520,0.569230769230769
Ecoline,Giant Space Mirror,456,0.567982456140351
Cheung Shing Mars,Sabotage,412,0.567961165048544
Point Luna,Archaebacteria,527,0.567362428842505
CrediCor,Arctic Algae,517,0.566731141199226
Interplanetary Cinematics,Search For Life,383,0.566579634464752
Valley Trust,Giant Space Mirror,512,0.56640625
Ecoline,Rad-Chem Factory,445,0.566292134831461
Mining Guild,Mars University,426,0.565727699530516
Valley Trust,Nitrite Reducing Bacteria,474,0.565400843881857
Ecoline,Virus,552,0.565217391304348
Cheung Shing Mars,Solar Power,462,0.564935064935065
Interplanetary Cinematics,Lagrange Observatory,406,0.564039408866995
Teractor,Miranda Resort,426,0.563380281690141
Cheung Shing Mars,Carbonate Processing,444,0.563063063063063
Point Luna,Asteroid,564,0.562056737588652
Teractor,Mineral Deposit,400,0.56
Cheung Shing Mars,Nitrogen-Rich Asteroid,418,0.559808612440191
Saturn Systems,Magnetic Field Dome,467,0.558886509635974
Valley Trust,Acquired Company,464,0.558189655172414
Ecoline,Trees,495,0.557575757575758
Point Luna,Power Grid,556,0.557553956834532
Cheung Shing Mars,CEO's Favourite Project,420,0.557142857142857
Mining Guild,Ore Processor,429,0.557109557109557
Cheung Shing Mars,Farming,474,0.556962025316456
Interplanetary Cinematics,Ants,347,0.556195965417867
Mining Guild,Asteroid Mining,366,0.554644808743169
Cheung Shing Mars,Breathing Filters,449,0.55456570155902
Vitor,Magnetic Field Dome,422,0.554502369668246
Valley Trust,Imported GHG,496,0.554435483870968
Robinson Industries,Equatorial Magnetizer,303,0.551155115511551
Point Luna,Tectonic Stress Power,519,0.551059730250482
Teractor,Giant Space Mirror,412,0.550970873786408
Tharsis Republic,Imported Hydrogen,436,0.55045871559633
Teractor,Business Contacts,449,0.55011135857461
Tharsis Republic,Deep Well Heating,442,0.549773755656109
Valley Trust,Cupola City,433,0.549653579676674
Interplanetary Cinematics,Decomposers,388,0.548969072164949
Point Luna,Plantation,527,0.548387096774194
Point Luna,Tundra Farming,569,0.548330404217926
Point Luna,Livestock,529,0.54820415879017
Valley Trust,Solar Wind Power,551,0.548094373865699
Interplanetary Cinematics,Space Mirrors,398,0.547738693467337
Cheung Shing Mars,Great Escarpment Consortium,455,0.547252747252747
CrediCor,Robotic Workforce,551,0.546279491833031
Point Luna,Worms,562,0.54626334519573
Saturn Systems,Corporate Stronghold,454,0.54625550660793
Vitor,Energy Tapping,478,0.54602510460251
Mining Guild,Vesta Shipyard,452,0.544247787610619
Cheung Shing Mars,Underground Detonations,443,0.544018058690745
Ecoline,Convoy From Europa,525,0.542857142857143
Interplanetary Cinematics,Eos Chasma National Park,374,0.542780748663102
Ecoline,Archaebacteria,551,0.542649727767695
Valley Trust,Hackers,498,0.542168674698795
Point Luna,Media Archives,602,0.541528239202658
Point Luna,Solar Power,521,0.54126679462572
Cheung Shing Mars,Aerobraked Ammonia Asteroid,438,0.541095890410959
Vitor,Methane From Titan,466,0.540772532188841
Ecoline,Beam From a Thorium Asteroid,446,0.540358744394619
Robinson Industries,Media Group,298,0.540268456375839
Inventrix,Advanced Alloys,300,0.54
Valley Trust,GHG Factories,526,0.539923954372624
Valley Trust,Nitrogen-Rich Asteroid,465,0.539784946236559
Saturn Systems,Tundra Farming,501,0.538922155688623
Teractor,Solar Power,438,0.538812785388128
Vitor,Rover Construction,480,0.5375
Interplanetary Cinematics,House Printing,371,0.536388140161725
Mining Guild,Tardigrades,470,0.536170212765957
Tharsis Republic,Adapted Lichen,437,0.535469107551487
Point Luna,Heather,499,0.535070140280561
Vitor,Commercial District,436,0.534403669724771
Valley Trust,Invention Contest,541,0.534195933456562
CrediCor,Flooding,559,0.531305903398927
Interplanetary Cinematics,Domed Crater,448,0.53125
Ecoline,Cartel,437,0.530892448512586
Point Luna,Black Polar Dust,528,0.53030303030303
Mining Guild,Water Splitting Plant,468,0.52991452991453
Vitor,Bribed Committee,465,0.529032258064516
Cheung Shing Mars,Adaptation Technology,437,0.528604118993135
Tharsis Republic,Optimal Aerobraking,451,0.527716186252772
Inventrix,Business Contacts,336,0.526785714285714
Interplanetary Cinematics,Martian Rails,414,0.526570048309179
Interplanetary Cinematics,Interstellar Colony Ship,363,0.526170798898072
CrediCor,Electro Catapult,498,0.526104417670683
Valley Trust,Hired Raiders,521,0.525911708253359
Saturn Systems,Towing a Comet,485,0.525773195876289
Valley Trust,Ice cap Melting,470,0.525531914893617
Interplanetary Cinematics,Great Dam,394,0.525380710659898
Tharsis Republic,Cloud Seeding,436,0.525229357798165
Tharsis Republic,Comet,438,0.525114155251142
Tharsis Republic,Livestock,471,0.524416135881104
Interplanetary Cinematics,Power Grid,351,0.524216524216524
Ecoline,Eos Chasma National Park,496,0.522177419354839
Mining Guild,Search For Life,387,0.521963824289406
CrediCor,Ironworks,531,0.52165725047081
Cheung Shing Mars,Power Grid,418,0.521531100478469
Ecoline,Great Dam,478,0.52092050209205
Mining Guild,Towing a Comet,444,0.52027027027027
Cheung Shing Mars,Robotic Workforce,500,0.52
Ecoline,Protected Valley,489,0.519427402862986
CrediCor,Nitrophilic Moss,590,0.51864406779661
Cheung Shing Mars,Martian Survey,403,0.518610421836228
Valley Trust,Ecological Zone,489,0.517382413087935
Saturn Systems,Adaptation Technology,439,0.517084282460137
Interplanetary Cinematics,Food Factory,401,0.516209476309227
Teractor,Big Asteroid,378,0.515873015873016
Ecoline,Ganymede Colony,473,0.515856236786469
Point Luna,Permafrost extraction,537,0.513966480446927
Interplanetary Cinematics,Breathing Filters,405,0.51358024691358
Saturn Systems,Noctis Farming,499,0.513026052104208
Cheung Shing Mars,Lava Tube Settlement,431,0.512761020881671
Cheung Shing Mars,Ice Asteroid,404,0.512376237623762
Vitor,Business Network,406,0.512315270935961
Vitor,Lagrange Observatory,451,0.51219512195122
Point Luna,Soil Factory,508,0.511811023622047
Interplanetary Cinematics,Immigration Shuttles,389,0.511568123393316
ThorGate,Cartel,139,0.510791366906475
Tharsis Republic,Zeppelins,462,0.508658008658009
Robinson Industries,Nitrophilic Moss,246,0.508130081300813
Teractor,Deep Well Heating,394,0.50761421319797
Ecoline,Farming,554,0.507220216606498
Interplanetary Cinematics,Rad-Chem Factory,432,0.506944444444444
Interplanetary Cinematics,Farming,391,0.506393861892583
Saturn Systems,Nuclear Power,484,0.506198347107438
Robinson Industries,Mohole Area,271,0.505535055350554
Ecoline,Colonizer Training Camp,481,0.505197505197505
Vitor,Viral Enhancers,458,0.504366812227074
CrediCor,Ganymede Colony,550,0.503636363636364
Ecoline,Worms,473,0.503171247357294
Cheung Shing Mars,Beam From a Thorium Asteroid,424,0.502358490566038
Mining Guild,Imported Hydrogen,454,0.502202643171806
CrediCor,Earth Office,532,0.50187969924812
Robinson Industries,Grass,299,0.498327759197324
Tharsis Republic,Sabotage,454,0.497797356828194
CrediCor,Interstellar Colony Ship,530,0.49622641509434
CrediCor,Convoy From Europa,520,0.496153846153846
Valley Trust,Energy Tapping,505,0.495049504950495
Valley Trust,Great Escarpment Consortium,481,0.494802494802495
Point Luna,Tardigrades,546,0.494505494505495
Valley Trust,Asteroid Mining,441,0.494331065759637
Tharsis Republic,Artificial Lake,462,0.493506493506494
Mining Guild,Virus,422,0.492890995260663
Tharsis Republic,Kelp Farming,415,0.491566265060241
Teractor,Shuttles,405,0.491358024691358
Tharsis Republic,Asteroid Mining,428,0.490654205607477
Cheung Shing Mars,Predators,449,0.487750556792873
Cheung Shing Mars,Lagrange Observatory,448,0.486607142857143
Interplanetary Cinematics,Import of Advanced GHG,434,0.486175115207373
Saturn Systems,CEO's Favourite Project,494,0.48582995951417
Vitor,Technology Demonstration,476,0.485294117647059
Teractor,Power Plant,400,0.485
Saturn Systems,Designed Microorganisms,466,0.484978540772532
Teractor,Io Mining Industries,477,0.484276729559748
Robinson Industries,Psychrophiles,281,0.483985765124555
Valley Trust,Black Polar Dust,463,0.483801295896328
Saturn Systems,Black Polar Dust,476,0.483193277310924
PhoboLog,Beam From a Thorium Asteroid,356,0.48314606741573
Vitor,Archaebacteria,414,0.483091787439614
Ecoline,Heather,532,0.483082706766917
Saturn Systems,Asteroid,483,0.4824016563147
CrediCor,Indentured Workers,562,0.48220640569395
Interplanetary Cinematics,Ore Processor,386,0.481865284974093
Interplanetary Cinematics,Urbanized Area,426,0.481220657276995
Interplanetary Cinematics,Magnetic Field Dome,395,0.481012658227848
Saturn Systems,Peroxide Power,464,0.480603448275862
Teractor,Security Fleet,402,0.480099502487562
Teractor,Optimal Aerobraking,396,0.47979797979798
Tharsis Republic,Anti-Gravity Technology,430,0.47906976744186
Tharsis Republic,Asteroid Mining Consortium,437,0.478260869565217
Mining Guild,GHG Producing Bacteria,392,0.477040816326531
Valley Trust,Tropical Resort,477,0.475890985324948
CrediCor,Quantum Extractor,525,0.474285714285714
Ecoline,Search For Life,466,0.474248927038627
Valley Trust,Moss,496,0.473790322580645
Point Luna,Open City,539,0.473098330241187
Point Luna,Decomposers,590,0.472881355932203
Inventrix,Nuclear Zone,313,0.472843450479233
Cheung Shing Mars,Dust Seals,438,0.472602739726027
Valley Trust,Underground Detonations,487,0.472279260780287
Point Luna,Trees,520,0.471153846153846
Tharsis Republic,Windmills,421,0.470308788598575
Saturn Systems,Cupola City,436,0.470183486238532
Vitor,Tropical Resort,417,0.470023980815348
Teractor,Mohole Area,388,0.469072164948454
Valley Trust,Space Station,483,0.467908902691511
Robinson Industries,Nuclear Zone,291,0.467353951890034
Ecoline,Mineral Deposit,486,0.467078189300412
Cheung Shing Mars,Tardigrades,392,0.466836734693878
Inventrix,Acquired Company,360,0.466666666666667
Robinson Industries,Business Network,281,0.466192170818505
Saturn Systems,Deep Well Heating,512,0.46484375
Ecoline,Herbivores,506,0.464426877470356
Mining Guild,Moss,447,0.463087248322148
Interplanetary Cinematics,Small Animals,387,0.462532299741602
Mining Guild,Heather,451,0.46119733924612
Valley Trust,Corporate Stronghold,481,0.459459459459459
Saturn Systems,Lichen,475,0.458947368421053
Tharsis Republic,Ants,456,0.458333333333333
Tharsis Republic,Arctic Algae,476,0.457983193277311
Inventrix,Research Outpost,328,0.457317073170732
Tharsis Republic,Designed Microorganisms,430,0.453488372093023
Point Luna,Satellites,569,0.453427065026362
Point Luna,Aerobraked Ammonia Asteroid,582,0.451890034364261
Point Luna,Insects,540,0.451851851851852
Tharsis Republic,Grass,463,0.451403887688985
CrediCor,Great Dam,545,0.451376146788991
Saturn Systems,Mineral Deposit,471,0.450106157112527
Saturn Systems,Soil Factory,458,0.449781659388646
CrediCor,Miranda Resort,535,0.448598130841121
Ecoline,Mars University,388,0.448453608247423
Saturn Systems,Immigration Shuttles,472,0.447033898305085
Interplanetary Cinematics,Lake Marineris,410,0.446341463414634
Ecoline,Noctis City,484,0.446280991735537
CrediCor,Insects,505,0.445544554455446
Saturn Systems,Open City,440,0.445454545454545
Teractor,Magnetic Field Dome,396,0.444444444444444
CrediCor,Adapted Lichen,538,0.444237918215613
Saturn Systems,Toll Station,533,0.442776735459662
Valley Trust,Insulation,531,0.44256120527307
Mining Guild,Zeppelins,452,0.442477876106195
Saturn Systems,Flooding,460,0.441304347826087
Tharsis Republic,Capital,433,0.441108545034642
Saturn Systems,Power Grid,483,0.440993788819876
Teractor,Domed Crater,363,0.440771349862259
Vitor,Immigration Shuttles,452,0.440265486725664
Saturn Systems,Shuttles,512,0.439453125
Ecoline,Arctic Algae,576,0.439236111111111
Teractor,Fuel Factory,392,0.438775510204082
CrediCor,Power Grid,527,0.438330170777989
Mining Guild,Noctis Farming,404,0.438118811881188
Teractor,Tectonic Stress Power,421,0.437054631828979
CrediCor,Algae,492,0.436991869918699
Saturn Systems,Fusion Power,448,0.435267857142857
Vitor,Extreme-Cold Fungus,448,0.435267857142857
Saturn Systems,Indentured Workers,448,0.435267857142857
Vitor,Arctic Algae,446,0.434977578475336
Point Luna,Methane From Titan,527,0.434535104364326
Teractor,Imported Hydrogen,470,0.434042553191489
Cheung Shing Mars,Miranda Resort,407,0.432432432432432
CrediCor,Vesta Shipyard,551,0.431941923774955
Cheung Shing Mars,Worms,403,0.431761786600496
Vitor,Symbiotic Fungus,457,0.431072210065646
Point Luna,Moss,529,0.431001890359168
Inventrix,Space Hotels,266,0.428571428571429
Ecoline,Magnetic Field Generators,509,0.428290766208251
Interplanetary Cinematics,Miranda Resort,332,0.427710843373494
Ecoline,Adaptation Technology,485,0.42680412371134
Tharsis Republic,Giant Space Mirror,453,0.426048565121413
Ecoline,Hired Raiders,482,0.425311203319502
Teractor,Protected Valley,374,0.425133689839572
Mining Guild,Solar Wind Power,426,0.424882629107981
Saturn Systems,Extreme-Cold Fungus,459,0.42483660130719
Valley Trust,Interstellar Colony Ship,478,0.424686192468619
Teractor,Imported GHG,438,0.424657534246575
Vitor,Callisto Penal Mines,454,0.422907488986784
Point Luna,Protected Valley,511,0.422700587084149
Tharsis Republic,Energy Tapping,452,0.422566371681416
Valley Trust,Aquifer Pumping,490,0.422448979591837
Saturn Systems,Media Archives,453,0.421633554083885
Ecoline,Space Hotels,382,0.421465968586387
Saturn Systems,Lake Marineris,479,0.419624217118998
Teractor,Media Archives,410,0.419512195121951
Ecoline,Underground Detonations,501,0.419161676646707
Valley Trust,Zeppelins,482,0.419087136929461
Interplanetary Cinematics,Viral Enhancers,382,0.418848167539267
Ecoline,CEO's Favourite Project,480,0.41875
Valley Trust,Ice Asteroid,473,0.418604651162791
Teractor,Artificial Photosynthesis,435,0.418390804597701
CrediCor,Grass,519,0.418111753371869
Ecoline,Immigration Shuttles,506,0.41699604743083
CrediCor,Hired Raiders,494,0.41497975708502
Valley Trust,Geothermal Power,504,0.41468253968254
Ecoline,Physics Complex,473,0.414376321353066
Point Luna,Equatorial Magnetizer,517,0.413926499032882
Ecoline,Technology Demonstration,503,0.41351888667992
Ecoline,Nuclear Power,467,0.413276231263383
Mining Guild,Ganymede Colony,410,0.412195121951219
Mining Guild,Ice cap Melting,438,0.410958904109589
Saturn Systems,GHG Producing Bacteria,494,0.410931174089069
Vitor,Fish,437,0.409610983981693
Ecoline,Decomposers,491,0.409368635437882
Vitor,Vesta Shipyard,485,0.408247422680412
Tharsis Republic,Small Animals,429,0.407925407925408
Mining Guild,Imported GHG,412,0.407766990291262
Robinson Industries,Industrial Microbes,259,0.405405405405405
Saturn Systems,Artificial Photosynthesis,491,0.405295315682281
Interplanetary Cinematics,Terraforming Ganymede,358,0.405027932960894
Mining Guild,Satellites,410,0.404878048780488
CrediCor,Urbanized Area,539,0.404452690166976
Point Luna,Lunar Beam,578,0.403114186851211
CrediCor,Peroxide Power,517,0.402321083172147
Tharsis Republic,Aquifer Pumping,461,0.401301518438178
Tharsis Republic,Nitrophilic Moss,459,0.400871459694989
CrediCor,Cartel,529,0.400756143667297
Saturn Systems,Water Splitting Plant,472,0.400423728813559
Tharsis Republic,Natural Preserve,420,0.4
Robinson Industries,Adaptation Technology,280,0.4
CrediCor,Psychrophiles,473,0.399577167019027
Point Luna,Grass,521,0.399232245681382
Inventrix,Mining Area,341,0.398826979472141
Mining Guild,Nuclear Power,454,0.398678414096916
Ecoline,Fueled Generators,487,0.398357289527721
Valley Trust,Worms,503,0.397614314115308
Saturn Systems,Capital,456,0.396929824561404
Inventrix,Virus,325,0.396923076923077
Interplanetary Cinematics,Lunar Beam,371,0.39622641509434
Cheung Shing Mars,Imported Nitrogen,389,0.395886889460154
ThorGate,Fuel Factory,192,0.395833333333333
Interplanetary Cinematics,Rover Construction,420,0.395238095238095
Valley Trust,Urbanized Area,496,0.395161290322581
Valley Trust,Bribed Committee,508,0.393700787401575
CrediCor,Tundra Farming,569,0.393673110720562
Vitor,Soil Factory,473,0.39323467230444
Ecoline,Development Center,443,0.392776523702032
Mining Guild,Mangrove,405,0.392592592592593
CrediCor,Bushes,604,0.392384105960265
Ecoline,Rover Construction,475,0.391578947368421
Vitor,Shuttles,473,0.391120507399577
Teractor,Herbivores,402,0.390547263681592
Cheung Shing Mars,Lava Flows,420,0.39047619047619
Robinson Industries,Zeppelins,280,0.389285714285714
Saturn Systems,Predators,445,0.38876404494382
Valley Trust,Ironworks,507,0.388560157790927
Robinson Industries,Wave Power,299,0.387959866220736
PhoboLog,Viral Enhancers,245,0.387755102040816
Mining Guild,Regolith Eaters,431,0.387470997679814
Valley Trust,Comet,483,0.387163561076605
Ecoline,Subterranean Reservoir,533,0.386491557223265
Robinson Industries,Biomass Combustors,290,0.386206896551724
Saturn Systems,Colonizer Training Camp,606,0.386138613861386
Tharsis Republic,Local Heat Trapping,451,0.385809312638581
Robinson Industries,Nitrogen-Rich Asteroid,275,0.385454545454545
Ecoline,Great Escarpment Consortium,457,0.385120350109409
Ecoline,Predators,515,0.384466019417476
Vitor,Eos Chasma National Park,453,0.384105960264901
Valley Trust,Ants,495,0.383838383838384
Cheung Shing Mars,Tundra Farming,412,0.383495145631068
Cheung Shing Mars,Subterranean Reservoir,408,0.382352941176471
Teractor,Solar Wind Power,378,0.380952380952381
PhoboLog,Mining Rights,289,0.380622837370242
Teractor,Martian Survey,339,0.380530973451327
Inventrix,Mining Rights,313,0.380191693290735
CrediCor,Subterranean Reservoir,572,0.377622377622378
Vitor,Release of Inert Gases,442,0.375565610859729
Point Luna,Ore Processor,530,0.375471698113208
Interplanetary Cinematics,Special Design,381,0.375328083989501
Ecoline,Small Animals,496,0.375
Ecoline,Permafrost extraction,512,0.375
CrediCor,Rad-Chem Factory,555,0.374774774774775
CrediCor,Industrial Center,542,0.374538745387454
Valley Trust,Arctic Algae,452,0.373893805309735
Saturn Systems,Regolith Eaters,490,0.373469387755102
Saturn Systems,Pets,467,0.372591006423983
Saturn Systems,Farming,487,0.371663244353183
Interplanetary Cinematics,Wave Power,366,0.371584699453552
Vitor,Peroxide Power,450,0.371111111111111
Interplanetary Cinematics,Release of Inert Gases,428,0.369158878504673
CrediCor,Fish,531,0.369114877589454
Tharsis Republic,Protected Valley,453,0.368653421633554
Valley Trust,Protected Habitats,467,0.36830835117773
Mining Guild,Nitrogen-Rich Asteroid,391,0.368286445012788
CrediCor,Advanced Ecosystems,549,0.367941712204007
Vitor,Space Station,471,0.367303609341826
CrediCor,Media Archives,522,0.365900383141762
Point Luna,Immigrant City,503,0.365805168986084
Robinson Industries,Research,290,0.36551724137931
Mining Guild,Archaebacteria,423,0.364066193853428
Mining Guild,Ice Asteroid,517,0.363636363636364
Teractor,Technology Demonstration,382,0.361256544502618
CrediCor,Lagrange Observatory,576,0.361111111111111
Tharsis Republic,Cartel,419,0.360381861575179
Tharsis Republic,Fish,476,0.359243697478992
Point Luna,Food Factory,574,0.358885017421603
Cheung Shing Mars,Underground City,435,0.358620689655172
CrediCor,Invention Contest,534,0.357677902621723
Mining Guild,Artificial Lake,437,0.356979405034325
Valley Trust,Protected Valley,485,0.356701030927835
CrediCor,Herbivores,550,0.356363636363636
Ecoline,Geothermal Power,469,0.356076759061834
Valley Trust,Power Supply Consortium,549,0.355191256830601
Ecoline,Biomass Combustors,493,0.354969574036511
